false_id,id,counter,frequency,spreading_factor,bandwidth,rssi,snr,createdAt,updatedAt
3886,2,1,433,10,125000,-17,9.25,10:58.5,2020-02-18T12:10:58.455Z
3888,4,2,433,10,125000,-17,10,11:09.0,2020-02-18T12:11:08.953Z
3890,6,3,433,10,125000,-14,6.75,11:19.5,2020-02-18T12:11:19.548Z
1,8,4,433,10,125000,-12,9.75,11:30.0,2020-02-18T12:11:30.027Z
3,10,5,433,10,125000,-13,8.75,11:40.5,2020-02-18T12:11:40.494Z
322,32,1,433,11,125000,-13,9.75,15:37.8,2020-02-18T12:15:37.834Z
324,34,2,433,11,125000,-12,10,15:48.2,2020-02-18T12:15:48.215Z
326,36,3,433,11,125000,-14,9,15:58.7,2020-02-18T12:15:58.689Z
328,38,4,433,11,125000,-15,8.25,16:09.2,2020-02-18T12:16:09.178Z
330,40,5,433,11,125000,-14,8.25,16:19.8,2020-02-18T12:16:19.798Z
750,62,1,433,12,125000,-14,6.5,20:17.2,2020-02-18T12:20:17.200Z
752,64,2,433,12,125000,-15,6,20:27.6,2020-02-18T12:20:27.575Z
754,66,3,433,12,125000,-13,6.75,20:38.0,2020-02-18T12:20:38.041Z
756,68,4,433,12,125000,-13,7,20:48.7,2020-02-18T12:20:48.722Z
758,70,5,433,12,125000,-13,7.25,20:59.2,2020-02-18T12:20:59.200Z
1178,93,1,433,10,125000,-13,8.5,25:06.2,2020-02-18T12:25:06.165Z
1180,95,2,433,10,125000,-14,8.5,25:16.7,2020-02-18T12:25:16.695Z
1182,97,3,433,10,125000,-13,6.5,25:27.1,2020-02-18T12:25:27.076Z
1184,99,4,433,10,125000,-14,8,25:37.5,2020-02-18T12:25:37.549Z
1186,101,5,433,10,125000,-14,9.5,25:48.0,2020-02-18T12:25:48.031Z
1499,123,1,433,11,125000,-15,6.25,29:45.4,2020-02-18T12:29:45.392Z
1501,125,2,433,11,125000,-15,6,29:55.9,2020-02-18T12:29:55.853Z
1503,127,3,433,11,125000,-60,6,30:06.2,2020-02-18T12:30:06.204Z
1606,129,4,433,11,125000,-15,6,30:16.7,2020-02-18T12:30:16.724Z
1608,131,5,433,11,125000,-16,6,30:27.4,2020-02-18T12:30:27.383Z
1927,153,1,433,12,125000,-16,3.5,34:24.7,2020-02-18T12:34:24.669Z
1929,155,2,433,12,125000,-14,3.25,34:35.1,2020-02-18T12:34:35.136Z
1931,157,3,433,12,125000,-14,3.75,34:45.6,2020-02-18T12:34:45.609Z
1933,159,4,433,12,125000,-15,3.5,34:56.2,2020-02-18T12:34:56.171Z
1935,161,5,433,12,125000,-16,4,35:07.0,2020-02-18T12:35:06.975Z
2355,183,1,433,10,125000,-14,8.25,39:03.0,2020-02-18T12:39:02.962Z
2357,185,2,433,10,125000,-14,7.5,39:13.4,2020-02-18T12:39:13.433Z
2359,187,3,433,10,125000,-14,8.5,39:23.9,2020-02-18T12:39:23.882Z
2462,189,4,433,10,125000,-14,6.25,39:34.5,2020-02-18T12:39:34.525Z
2464,191,5,433,10,125000,-15,8.5,39:45.0,2020-02-18T12:39:44.988Z
2890,213,1,433,11,125000,-15,5.5,43:42.1,2020-02-18T12:43:42.070Z
2892,215,2,433,11,125000,-14,5.75,43:52.5,2020-02-18T12:43:52.545Z
2894,217,3,433,11,125000,-15,5.75,44:03.2,2020-02-18T12:44:03.189Z
2896,219,4,433,11,125000,-14,5.5,44:13.6,2020-02-18T12:44:13.562Z
2898,221,5,433,11,125000,-15,5.5,44:24.1,2020-02-18T12:44:24.078Z
3425,243,1,433,12,125000,-15,3.5,48:21.4,2020-02-18T12:48:21.407Z
3427,245,2,433,12,125000,-14,4,48:32.1,2020-02-18T12:48:32.058Z
3429,247,3,433,12,125000,-15,4,48:42.5,2020-02-18T12:48:42.508Z
3532,249,4,433,12,125000,-16,3.5,48:53.0,2020-02-18T12:48:52.964Z
3534,251,5,433,12,125000,-15,3.75,49:03.4,2020-02-18T12:49:03.437Z
5,273,1,433,10,125000,-14,8.5,52:59.9,2020-02-18T12:52:59.915Z
7,275,2,433,10,125000,-14,8.5,53:10.3,2020-02-18T12:53:10.273Z
9,277,3,433,10,125000,-15,9.25,53:20.9,2020-02-18T12:53:20.931Z
11,279,4,433,10,125000,-14,9,53:31.4,2020-02-18T12:53:31.403Z
13,281,5,433,10,125000,-14,9.75,53:41.8,2020-02-18T12:53:41.771Z
332,303,1,433,11,125000,-15,7.75,57:39.2,2020-02-18T12:57:39.176Z
334,305,2,433,11,125000,-15,8.25,57:49.6,2020-02-18T12:57:49.638Z
336,307,3,433,11,125000,-15,8.75,58:00.1,2020-02-18T12:58:00.116Z
338,309,4,433,11,125000,-15,8,58:10.6,2020-02-18T12:58:10.562Z
340,311,5,433,11,125000,-15,8.75,58:21.2,2020-02-18T12:58:21.211Z
653,333,1,433,12,125000,-15,6.25,02:18.5,2020-02-18T13:02:18.519Z
655,335,2,433,12,125000,-15,5.75,02:29.0,2020-02-18T13:02:28.969Z
657,337,3,433,12,125000,-15,6.5,02:39.5,2020-02-18T13:02:39.461Z
760,339,4,433,12,125000,-15,6.25,02:50.1,2020-02-18T13:02:50.143Z
762,341,5,433,12,125000,-15,5.5,03:00.5,2020-02-18T13:03:00.512Z
1072,363,1,433,10,125000,-13,9.25,06:56.9,2020-02-18T13:06:56.913Z
1074,365,2,433,10,125000,-14,8.75,07:07.5,2020-02-18T13:07:07.454Z
1076,367,3,433,10,125000,-14,9.25,07:17.8,2020-02-18T13:07:17.798Z
1078,369,4,433,10,125000,-14,9.75,07:28.3,2020-02-18T13:07:28.281Z
1080,371,5,433,10,125000,-15,9.5,07:39.0,2020-02-18T13:07:38.958Z
1505,393,1,433,11,125000,-15,8.25,11:36.1,2020-02-18T13:11:36.136Z
1507,395,2,433,11,125000,-15,8.5,11:46.6,2020-02-18T13:11:46.595Z
1509,397,3,433,11,125000,-15,9,11:57.0,2020-02-18T13:11:56.971Z
1722,399,4,433,11,125000,-15,8.75,12:07.7,2020-02-18T13:12:07.653Z
1724,401,5,433,11,125000,-15,9,12:18.1,2020-02-18T13:12:18.056Z
2038,423,1,433,12,125000,-15,5.75,16:15.4,2020-02-18T13:16:15.447Z
2040,425,2,433,12,125000,-15,6.5,16:25.9,2020-02-18T13:16:25.912Z
2042,427,3,433,12,125000,-15,5.75,16:36.6,2020-02-18T13:16:36.631Z
2044,429,4,433,12,125000,-15,5.75,16:47.0,2020-02-18T13:16:46.990Z
2046,431,5,433,12,125000,-15,6.25,16:57.5,2020-02-18T13:16:57.455Z
2466,453,1,433,10,125000,-14,8.5,20:54.0,2020-02-18T13:20:53.992Z
2468,455,2,433,10,125000,-13,9,21:04.4,2020-02-18T13:21:04.351Z
2470,457,3,433,10,125000,-13,7.75,21:14.9,2020-02-18T13:21:14.860Z
2472,459,4,433,10,125000,-14,7.5,21:25.4,2020-02-18T13:21:25.444Z
2474,461,5,433,10,125000,-14,8.75,21:35.9,2020-02-18T13:21:35.906Z
3007,483,1,433,11,125000,-14,6.25,25:33.1,2020-02-18T13:25:33.099Z
3009,485,2,433,11,125000,-15,6,25:43.5,2020-02-18T13:25:43.485Z
3011,487,3,433,11,125000,-15,6,25:54.1,2020-02-18T13:25:54.138Z
3013,489,4,433,11,125000,-16,6,26:04.6,2020-02-18T13:26:04.601Z
3015,491,5,433,11,125000,-14,5.75,26:15.1,2020-02-18T13:26:15.058Z
3323,513,1,433,12,125000,-15,3.5,30:12.5,2020-02-18T13:30:12.479Z
3325,515,2,433,12,125000,-15,3.75,30:23.0,2020-02-18T13:30:23.044Z
3327,517,3,433,12,125000,-15,3.25,30:33.5,2020-02-18T13:30:33.524Z
3329,519,4,433,12,125000,-16,3.75,30:44.0,2020-02-18T13:30:43.997Z
3331,521,5,433,12,125000,-14,2.5,30:54.4,2020-02-18T13:30:54.378Z
3647,543,1,433,10,125000,-14,6.5,34:50.9,2020-02-18T13:34:50.882Z
3649,545,2,433,10,125000,-15,9,35:01.2,2020-02-18T13:35:01.239Z
3651,547,3,433,10,125000,-14,9,35:12.0,2020-02-18T13:35:11.959Z
3653,549,4,433,10,125000,-14,7.25,35:22.3,2020-02-18T13:35:22.341Z
3655,551,5,433,10,125000,-15,8.5,35:32.8,2020-02-18T13:35:32.794Z
128,572,1,433,11,125000,-15,6.25,39:30.0,2020-02-18T13:39:29.988Z
130,574,2,433,11,125000,-60,6,39:40.6,2020-02-18T13:39:40.643Z
132,576,3,433,11,125000,-16,5.75,39:51.1,2020-02-18T13:39:51.102Z
134,578,4,433,11,125000,-15,5.75,40:01.5,2020-02-18T13:40:01.469Z
136,580,5,433,11,125000,-16,6.5,40:11.9,2020-02-18T13:40:11.929Z
658,602,1,433,12,125000,-16,3.5,44:09.6,2020-02-18T13:44:09.574Z
660,604,2,433,12,125000,-15,3.75,44:20.0,2020-02-18T13:44:20.015Z
662,606,3,433,12,125000,-15,3.75,44:30.4,2020-02-18T13:44:30.387Z
664,608,4,433,12,125000,-15,3.25,44:41.0,2020-02-18T13:44:41.036Z
666,610,5,433,12,125000,-15,3.5,44:51.5,2020-02-18T13:44:51.513Z
984,632,1,433,10,125000,-14,8.75,48:47.9,2020-02-18T13:48:47.911Z
986,634,2,433,10,125000,-13,9.75,48:58.4,2020-02-18T13:48:58.366Z
988,636,3,433,10,125000,-15,8.25,49:08.9,2020-02-18T13:49:08.868Z
990,638,4,433,10,125000,-13,6.5,49:19.2,2020-02-18T13:49:19.222Z
992,640,5,433,10,125000,-14,7.25,49:29.9,2020-02-18T13:49:29.885Z
1511,662,1,433,11,125000,-16,6.75,53:27.0,2020-02-18T13:53:27.048Z
1513,664,2,433,11,125000,-15,5.5,53:37.5,2020-02-18T13:53:37.519Z
1515,666,3,433,11,125000,-15,6.5,53:48.0,2020-02-18T13:53:48.008Z
1517,668,4,433,11,125000,-15,6,53:58.6,2020-02-18T13:53:58.585Z
1519,670,5,433,11,125000,-16,6.5,54:09.0,2020-02-18T13:54:09.032Z
1947,692,1,433,12,125000,-16,4.25,58:06.5,2020-02-18T13:58:06.518Z
1949,694,2,433,12,125000,-15,4,58:16.9,2020-02-18T13:58:16.894Z
1951,696,3,433,12,125000,-16,3.25,58:27.6,2020-02-18T13:58:27.573Z
1953,698,4,433,12,125000,-16,4,58:38.0,2020-02-18T13:58:38.014Z
1955,700,5,433,12,125000,-15,3.75,58:48.4,2020-02-18T13:58:48.389Z
2264,722,1,433,10,125000,-14,7.75,02:44.8,2020-02-18T14:02:44.810Z
2266,724,2,433,10,125000,-14,7.25,02:55.3,2020-02-18T14:02:55.278Z
2268,726,3,433,10,125000,-14,7.5,03:05.7,2020-02-18T14:03:05.738Z
2270,728,4,433,10,125000,-14,8.75,03:16.4,2020-02-18T14:03:16.414Z
2272,730,5,433,10,125000,-14,7.75,03:26.8,2020-02-18T14:03:26.783Z
2581,752,1,433,11,125000,-15,6.25,07:24.0,2020-02-18T14:07:23.995Z
2583,754,2,433,11,125000,-15,6.25,07:34.5,2020-02-18T14:07:34.460Z
2585,756,3,433,11,125000,-15,6,07:45.0,2020-02-18T14:07:45.032Z
2587,758,4,433,11,125000,-15,6.25,07:55.5,2020-02-18T14:07:55.504Z
2684,760,5,433,11,125000,-15,6.25,08:06.0,2020-02-18T14:08:05.973Z
3118,782,1,433,12,125000,-16,4.5,12:03.5,2020-02-18T14:12:03.517Z
3120,784,2,433,12,125000,-15,3.75,12:14.0,2020-02-18T14:12:13.979Z
3122,786,3,433,12,125000,-15,4.25,12:24.5,2020-02-18T14:12:24.475Z
3124,788,4,433,12,125000,-15,3.75,12:34.8,2020-02-18T14:12:34.830Z
3126,790,5,433,12,125000,-15,4,12:45.5,2020-02-18T14:12:45.508Z
3441,812,1,433,10,125000,-15,8,16:41.8,2020-02-18T14:16:41.765Z
3443,814,2,433,10,125000,-16,8.25,16:52.4,2020-02-18T14:16:52.428Z
3445,816,3,433,10,125000,-14,7.25,17:02.8,2020-02-18T14:17:02.800Z
3447,818,4,433,10,125000,-14,8.5,17:13.3,2020-02-18T14:17:13.281Z
3449,820,5,433,10,125000,-13,8.5,17:23.8,2020-02-18T14:17:23.755Z
3868,842,1,433,11,125000,-16,7,21:21.1,2020-02-18T14:21:21.060Z
3870,844,2,433,11,125000,-60,6,21:31.5,2020-02-18T14:21:31.535Z
3872,846,3,433,11,125000,-15,6.5,21:42.0,2020-02-18T14:21:41.984Z
3874,848,4,433,11,125000,-16,6.25,21:52.4,2020-02-18T14:21:52.437Z
3876,850,5,433,11,125000,-15,6,22:03.0,2020-02-18T14:22:03.021Z
455,870,1,433,12,125000,-16,3.75,26:05.4,2020-02-18T14:26:05.447Z
550,871,3,433,12,125000,-15,4,26:26.3,2020-02-18T14:26:26.313Z
668,873,1,433,10,125000,-14,7.5,30:39.1,2020-02-18T14:30:39.059Z
670,875,2,433,10,125000,-15,7.5,30:49.3,2020-02-18T14:30:49.313Z
672,877,3,433,10,125000,-14,7,30:59.8,2020-02-18T14:30:59.759Z
774,879,4,433,10,125000,-14,8.5,31:10.4,2020-02-18T14:31:10.367Z
776,881,5,433,10,125000,-14,6.75,31:20.8,2020-02-18T14:31:20.824Z
1198,903,1,433,11,125000,-17,7,35:18.0,2020-02-18T14:35:17.974Z
1200,905,2,433,11,125000,-16,6.25,35:28.4,2020-02-18T14:35:28.435Z
1202,907,3,433,11,125000,-16,5.75,35:39.1,2020-02-18T14:35:39.110Z
1204,909,4,433,11,125000,-15,6,35:49.5,2020-02-18T14:35:49.532Z
1206,911,5,433,11,125000,-15,6,36:00.0,2020-02-18T14:36:00.015Z
1617,933,1,433,12,125000,-15,5.75,39:57.4,2020-02-18T14:39:57.371Z
1619,935,2,433,12,125000,-15,6.25,40:08.0,2020-02-18T14:40:08.049Z
1621,937,3,433,12,125000,-15,6,40:18.4,2020-02-18T14:40:18.406Z
1623,939,4,433,12,125000,-14,6.5,40:28.9,2020-02-18T14:40:28.869Z
1625,941,5,433,12,125000,-15,6.75,40:39.5,2020-02-18T14:40:39.523Z
1957,963,1,433,10,125000,-13,8,44:35.8,2020-02-18T14:44:35.828Z
1959,965,2,433,10,125000,-14,8.75,44:46.2,2020-02-18T14:44:46.196Z
1961,967,3,433,10,125000,-13,9.25,44:56.9,2020-02-18T14:44:56.864Z
1963,969,4,433,10,125000,-13,10.25,45:07.4,2020-02-18T14:45:07.364Z
1965,971,5,433,10,125000,-14,9.25,45:17.8,2020-02-18T14:45:17.822Z
2486,993,1,433,11,125000,-14,9.25,49:15.0,2020-02-18T14:49:14.976Z
2488,995,2,433,11,125000,-15,8.75,49:25.6,2020-02-18T14:49:25.629Z
2490,997,3,433,11,125000,-15,8.25,49:36.1,2020-02-18T14:49:36.085Z
2492,999,4,433,11,125000,-14,8.75,49:46.5,2020-02-18T14:49:46.466Z
2494,1001,5,433,11,125000,-14,8.5,49:57.0,2020-02-18T14:49:56.953Z
2805,1023,1,433,12,125000,-14,6.25,53:54.5,2020-02-18T14:53:54.542Z
2807,1025,2,433,12,125000,-15,6.25,54:05.0,2020-02-18T14:54:04.984Z
2809,1027,3,433,12,125000,-15,6,54:15.5,2020-02-18T14:54:15.452Z
2811,1029,4,433,12,125000,-15,6.5,54:25.9,2020-02-18T14:54:25.900Z
2908,1031,5,433,12,125000,-14,6,54:36.5,2020-02-18T14:54:36.468Z
3343,1053,1,433,10,125000,-13,9.5,58:32.8,2020-02-18T14:58:32.757Z
3345,1055,2,433,10,125000,-14,9.25,58:43.4,2020-02-18T14:58:43.431Z
3347,1057,3,433,10,125000,-13,8,58:53.8,2020-02-18T14:58:53.805Z
3451,1059,4,433,10,125000,-13,9.75,59:04.3,2020-02-18T14:59:04.253Z
3453,1061,5,433,10,125000,-15,8.75,59:14.9,2020-02-18T14:59:14.901Z
3764,1083,1,433,11,125000,-14,8.5,03:12.1,2020-02-18T15:03:12.106Z
3766,1085,2,433,11,125000,-15,7.25,03:22.5,2020-02-18T15:03:22.500Z
3768,1087,3,433,11,125000,-60,6.5,03:33.0,2020-02-18T15:03:32.982Z
3770,1089,4,433,11,125000,-15,8.25,03:43.7,2020-02-18T15:03:43.652Z
3772,1091,5,433,11,125000,-14,8.5,03:54.1,2020-02-18T15:03:54.106Z
142,1113,1,433,12,125000,-15,5.75,07:51.4,2020-02-18T15:07:51.446Z
144,1115,2,433,12,125000,-15,6,08:01.9,2020-02-18T15:08:01.915Z
146,1117,3,433,12,125000,-15,6.25,08:12.5,2020-02-18T15:08:12.492Z
148,1119,4,433,12,125000,-15,6,08:23.0,2020-02-18T15:08:22.962Z
150,1121,5,433,12,125000,-14,6.25,08:33.4,2020-02-18T15:08:33.435Z
456,1142,1,433,10,125000,-13,9.5,12:29.9,2020-02-18T15:12:29.887Z
458,1144,2,433,10,125000,-14,9.75,12:40.3,2020-02-18T15:12:40.273Z
460,1146,3,433,10,125000,-12,9,12:50.7,2020-02-18T15:12:50.726Z
462,1148,4,433,10,125000,-14,8.75,13:01.4,2020-02-18T15:13:01.373Z
464,1150,5,433,10,125000,-14,8.25,13:11.9,2020-02-18T15:13:11.856Z
778,1172,1,433,11,125000,-14,8.25,17:09.3,2020-02-18T15:17:09.294Z
780,1174,2,433,11,125000,-14,8.75,17:19.4,2020-02-18T15:17:19.442Z
782,1176,3,433,11,125000,-15,8.25,17:30.0,2020-02-18T15:17:30.026Z
784,1178,4,433,11,125000,-14,8,17:40.5,2020-02-18T15:17:40.505Z
786,1180,5,433,11,125000,-15,8.5,17:51.0,2020-02-18T15:17:50.967Z
1098,1202,1,433,12,125000,-15,6,21:48.3,2020-02-18T15:21:48.333Z
1100,1204,2,433,12,125000,-14,6.25,21:59.0,2020-02-18T15:21:59.015Z
1102,1206,3,433,12,125000,-15,6.25,22:09.8,2020-02-18T15:22:09.793Z
1104,1208,4,433,12,125000,-15,6,22:19.9,2020-02-18T15:22:19.879Z
1106,1210,5,433,12,125000,-14,6.5,22:30.6,2020-02-18T15:22:30.558Z
1422,1232,1,433,10,125000,-14,8.25,26:26.7,2020-02-18T15:26:26.741Z
1424,1234,2,433,10,125000,-14,8.5,26:37.4,2020-02-18T15:26:37.407Z
1426,1236,3,433,10,125000,-13,9,26:47.8,2020-02-18T15:26:47.784Z
1525,1238,4,433,10,125000,-13,9,26:58.3,2020-02-18T15:26:58.257Z
1527,1240,5,433,10,125000,-13,9.5,27:09.0,2020-02-18T15:27:08.952Z
1860,1262,1,433,11,125000,-14,8,31:06.1,2020-02-18T15:31:06.085Z
1862,1264,2,433,11,125000,-14,7.75,31:16.5,2020-02-18T15:31:16.545Z
1864,1266,3,433,11,125000,-14,8.25,31:26.9,2020-02-18T15:31:26.914Z
1866,1268,4,433,11,125000,-15,8.75,31:37.4,2020-02-18T15:31:37.363Z
1868,1270,5,433,11,125000,-15,8,31:48.0,2020-02-18T15:31:48.041Z
2164,1292,1,433,12,125000,-15,6,35:45.4,2020-02-18T15:35:45.442Z
2166,1294,2,433,12,125000,-14,5.75,35:55.9,2020-02-18T15:35:55.896Z
2168,1296,3,433,12,125000,-15,6,36:06.5,2020-02-18T15:36:06.456Z
2170,1298,4,433,12,125000,-15,6,36:17.0,2020-02-18T15:36:16.970Z
2172,1300,5,433,12,125000,-15,5.75,36:27.5,2020-02-18T15:36:27.453Z
2496,1322,1,433,10,125000,-14,8.25,40:23.9,2020-02-18T15:40:23.859Z
2498,1324,2,433,10,125000,-14,8.75,40:34.3,2020-02-18T15:40:34.348Z
2500,1326,3,433,10,125000,-13,9,40:44.7,2020-02-18T15:40:44.727Z
2599,1328,4,433,10,125000,-14,8.75,40:55.2,2020-02-18T15:40:55.192Z
2601,1330,5,433,10,125000,-13,9.5,41:05.8,2020-02-18T15:41:05.788Z
3134,1351,1,433,11,125000,-15,8.5,45:03.0,2020-02-18T15:45:03.012Z
3136,1353,2,433,11,125000,-14,8.25,45:13.5,2020-02-18T15:45:13.493Z
3138,1355,3,433,11,125000,-15,9,45:23.9,2020-02-18T15:45:23.874Z
3140,1357,4,433,11,125000,-15,8,45:34.6,2020-02-18T15:45:34.564Z
3142,1359,5,433,11,125000,-14,8.5,45:45.0,2020-02-18T15:45:45.021Z
3455,1381,1,433,12,125000,-14,6.75,49:42.3,2020-02-18T15:49:42.313Z
3457,1383,2,433,12,125000,-14,7,49:53.0,2020-02-18T15:49:52.986Z
3459,1385,3,433,12,125000,-14,6,50:03.5,2020-02-18T15:50:03.461Z
3461,1387,4,433,12,125000,-15,6.25,50:13.9,2020-02-18T15:50:13.936Z
3462,1388,5,433,12,125000,-15,6.25,50:24.3,2020-02-18T15:50:24.318Z
3894,1410,1,433,10,125000,-13,9.25,54:20.8,2020-02-18T15:54:20.813Z
3896,1412,2,433,10,125000,-13,8.75,54:31.3,2020-02-18T15:54:31.275Z
3898,1414,3,433,10,125000,-14,8.5,54:41.7,2020-02-18T15:54:41.723Z
3900,1416,4,433,10,125000,-14,8.5,54:52.2,2020-02-18T15:54:52.205Z
3902,1418,5,433,10,125000,-13,9.25,55:02.8,2020-02-18T15:55:02.771Z
466,1440,1,433,11,125000,-14,9.25,59:00.0,2020-02-18T15:59:00.000Z
468,1442,2,433,11,125000,-14,8.75,59:10.5,2020-02-18T15:59:10.458Z
470,1444,3,433,11,125000,-15,8.75,59:21.1,2020-02-18T15:59:21.083Z
472,1446,4,433,11,125000,-15,8,59:31.6,2020-02-18T15:59:31.558Z
474,1448,5,433,11,125000,-14,8.75,59:41.9,2020-02-18T15:59:41.941Z
788,1470,1,433,12,125000,-15,5.25,03:39.4,2020-02-18T16:03:39.353Z
790,1472,2,433,12,125000,-14,5.5,03:50.0,2020-02-18T16:03:49.964Z
792,1474,3,433,12,125000,-15,5.25,04:00.4,2020-02-18T16:04:00.411Z
794,1476,4,433,12,125000,-15,4.5,04:10.9,2020-02-18T16:04:10.893Z
796,1478,5,433,12,125000,-15,5,04:21.4,2020-02-18T16:04:21.367Z
1108,1500,1,433,10,125000,-13,9.5,08:17.7,2020-02-18T16:08:17.725Z
1110,1502,2,433,10,125000,-14,9.25,08:28.2,2020-02-18T16:08:28.188Z
1112,1504,3,433,10,125000,-14,8.75,08:38.9,2020-02-18T16:08:38.857Z
1114,1506,4,433,10,125000,-13,9.75,08:49.3,2020-02-18T16:08:49.337Z
1116,1508,5,433,10,125000,-14,8.75,08:59.7,2020-02-18T16:08:59.699Z
1428,1530,1,433,11,125000,-15,8.75,12:56.9,2020-02-18T16:12:56.935Z
1430,1532,2,433,11,125000,-15,7.75,13:07.6,2020-02-18T16:13:07.609Z
1432,1534,3,433,11,125000,-14,8.5,13:18.0,2020-02-18T16:13:17.999Z
1434,1536,4,433,11,125000,-14,8.75,13:28.5,2020-02-18T16:13:28.476Z
1436,1538,5,433,11,125000,-15,8,13:38.9,2020-02-18T16:13:38.924Z
1750,1560,1,433,12,125000,-15,5.5,17:36.5,2020-02-18T16:17:36.483Z
1752,1562,2,433,12,125000,-15,5.75,17:46.9,2020-02-18T16:17:46.944Z
1754,1564,3,433,12,125000,-15,5.75,17:57.4,2020-02-18T16:17:57.418Z
1755,1565,4,433,12,125000,-15,6.25,18:07.8,2020-02-18T16:18:07.798Z
1758,1568,5,433,12,125000,-15,5.5,18:18.4,2020-02-18T16:18:18.432Z
2174,1590,1,433,10,125000,-13,8.25,22:15.1,2020-02-18T16:22:15.054Z
2176,1592,2,433,10,125000,-15,9.25,22:25.5,2020-02-18T16:22:25.507Z
2178,1594,3,433,10,125000,-13,9,22:36.0,2020-02-18T16:22:35.989Z
2180,1596,4,433,10,125000,-13,8.75,22:46.5,2020-02-18T16:22:46.458Z
2182,1598,5,433,10,125000,-13,9.75,22:57.1,2020-02-18T16:22:57.112Z
2700,1620,1,433,11,125000,-15,8.25,26:54.2,2020-02-18T16:26:54.202Z
2702,1622,2,433,11,125000,-15,7.75,27:04.7,2020-02-18T16:27:04.671Z
2704,1624,3,433,11,125000,-14,8.5,27:15.2,2020-02-18T16:27:15.162Z
2706,1626,4,433,11,125000,-15,5.75,27:25.8,2020-02-18T16:27:25.768Z
2708,1628,5,433,11,125000,-14,8.25,27:36.2,2020-02-18T16:27:36.238Z
3042,1650,1,433,12,125000,-15,6,31:33.6,2020-02-18T16:31:33.592Z
3044,1652,2,433,12,125000,-15,7.25,31:44.2,2020-02-18T16:31:44.229Z
3046,1654,3,433,12,125000,-15,6,31:54.7,2020-02-18T16:31:54.707Z
3048,1656,4,433,12,125000,-15,6.25,32:05.2,2020-02-18T16:32:05.166Z
3050,1658,5,433,12,125000,-14,5.75,32:15.5,2020-02-18T16:32:15.538Z
3359,1680,1,433,10,125000,-13,8,36:11.9,2020-02-18T16:36:11.936Z
3361,1682,2,433,10,125000,-14,9,36:22.4,2020-02-18T16:36:22.407Z
3363,1684,3,433,10,125000,-13,9.25,36:33.1,2020-02-18T16:36:33.096Z
3365,1686,4,433,10,125000,-14,8.25,36:43.6,2020-02-18T16:36:43.567Z
3367,1688,5,433,10,125000,-14,8.75,36:53.9,2020-02-18T16:36:53.926Z
3675,1710,1,433,11,125000,-14,8.75,40:51.1,2020-02-18T16:40:51.139Z
3677,1712,2,433,11,125000,-15,8,41:01.8,2020-02-18T16:41:01.788Z
3679,1714,3,433,11,125000,-14,8.25,41:12.3,2020-02-18T16:41:12.253Z
3681,1716,4,433,11,125000,-14,9.25,41:22.6,2020-02-18T16:41:22.626Z
3683,1718,5,433,11,125000,-14,8.75,41:33.1,2020-02-18T16:41:33.110Z
41,1740,1,433,12,125000,-15,6.25,45:30.7,2020-02-18T16:45:30.675Z
43,1742,2,433,12,125000,-14,6,45:46.2,2020-02-18T16:45:46.155Z
156,1745,4,433,12,125000,-14,6.5,46:07.1,2020-02-18T16:46:07.071Z
571,1749,1,433,10,125000,-13,9.5,50:10.6,2020-02-18T16:50:10.576Z
574,1752,2,433,10,125000,-13,9.5,50:19.5,2020-02-18T16:50:19.499Z
576,1754,3,433,10,125000,-13,9,50:30.0,2020-02-18T16:50:29.990Z
694,1756,4,433,10,125000,-13,9.25,50:40.4,2020-02-18T16:50:40.407Z
696,1758,5,433,10,125000,-13,9,50:51.1,2020-02-18T16:50:51.098Z
1020,1780,1,433,11,125000,-15,7.75,54:48.3,2020-02-18T16:54:48.255Z
1022,1782,2,433,11,125000,-14,8.25,54:58.6,2020-02-18T16:54:58.636Z
1118,1784,3,433,11,125000,-15,8,55:09.5,2020-02-18T16:55:09.540Z
1120,1786,4,433,11,125000,-14,9,55:19.8,2020-02-18T16:55:19.807Z
1122,1788,5,433,11,125000,-15,8.25,55:30.3,2020-02-18T16:55:30.262Z
1438,1810,1,433,12,125000,-14,5.75,59:27.6,2020-02-18T16:59:27.641Z
1440,1812,2,433,12,125000,-14,6.5,59:38.0,2020-02-18T16:59:37.991Z
1442,1814,3,433,12,125000,-15,6.5,59:48.7,2020-02-18T16:59:48.656Z
1444,1816,4,433,12,125000,-14,5.75,59:59.2,2020-02-18T16:59:59.151Z
1446,1818,5,433,12,125000,-14,6,00:09.9,2020-02-18T17:00:09.878Z
1876,1840,1,433,10,125000,-14,8.75,04:06.0,2020-02-18T17:04:06.012Z
1878,1842,2,433,10,125000,-15,9,04:16.5,2020-02-18T17:04:16.464Z
1981,1845,4,433,10,125000,-13,8.5,04:37.5,2020-02-18T17:04:37.526Z
1983,1847,5,433,10,125000,-13,8,04:48.2,2020-02-18T17:04:48.187Z
2294,1869,1,433,11,125000,-15,8,08:45.4,2020-02-18T17:08:45.372Z
2296,1871,2,433,11,125000,-15,7.5,08:56.0,2020-02-18T17:08:55.961Z
2298,1873,3,433,11,125000,-15,8.5,09:06.7,2020-02-18T17:09:06.695Z
2300,1875,4,433,11,125000,-14,8.25,09:16.9,2020-02-18T17:09:16.929Z
2302,1877,5,433,11,125000,-15,8.25,09:27.3,2020-02-18T17:09:27.318Z
